Date,Region,Cars
2015-01-26,Akdeniz Bölgesi,129947.0
2015-02-02,Akdeniz Bölgesi,131323.0
2015-02-09,Akdeniz Bölgesi,131323.0
2015-02-16,Akdeniz Bölgesi,131323.0
2015-02-23,Akdeniz Bölgesi,131323.0
2015-03-02,Akdeniz Bölgesi,133390.0
2015-03-09,Akdeniz Bölgesi,133390.0
2015-03-16,Akdeniz Bölgesi,133390.0
2015-03-23,Akdeniz Bölgesi,133390.0
2015-03-30,Akdeniz Bölgesi,133390.0
2015-04-06,Akdeniz Bölgesi,135681.0
2015-04-13,Akdeniz Bölgesi,135681.0
2015-04-20,Akdeniz Bölgesi,135681.0
2015-04-27,Akdeniz Bölgesi,135681.0
2015-05-04,Akdeniz Bölgesi,139959.0
2015-05-11,Akdeniz Bölgesi,139959.0
2015-05-18,Akdeniz Bölgesi,139959.0
2015-05-25,Akdeniz Bölgesi,139959.0
2015-06-01,Akdeniz Bölgesi,143904.0
2015-06-08,Akdeniz Bölgesi,143904.0
2015-06-15,Akdeniz Bölgesi,143904.0
2015-06-22,Akdeniz Bölgesi,143904.0
2015-06-29,Akdeniz Bölgesi,147243.0
2015-07-06,Akdeniz Bölgesi,147243.0
2015-07-13,Akdeniz Bölgesi,147243.0
2015-07-20,Akdeniz Bölgesi,147243.0
2015-07-27,Akdeniz Bölgesi,147243.0
2015-08-03,Akdeniz Bölgesi,148740.0
2015-08-10,Akdeniz Bölgesi,148740.0
2015-08-17,Akdeniz Bölgesi,148740.0
2015-08-24,Akdeniz Bölgesi,148740.0
2015-08-31,Akdeniz Bölgesi,151785.0
2015-09-07,Akdeniz Bölgesi,151785.0
2015-09-14,Akdeniz Bölgesi,151785.0
2015-09-21,Akdeniz Bölgesi,151785.0
2015-09-28,Akdeniz Bölgesi,153008.0
2015-10-05,Akdeniz Bölgesi,153008.0
2015-10-12,Akdeniz Bölgesi,153008.0
2015-10-19,Akdeniz Bölgesi,153008.0
2015-10-26,Akdeniz Bölgesi,153008.0
2015-11-02,Akdeniz Bölgesi,150863.0
2015-11-09,Akdeniz Bölgesi,150863.0
2015-11-16,Akdeniz Bölgesi,150863.0
2015-11-23,Akdeniz Bölgesi,150863.0
2015-11-30,Akdeniz Bölgesi,150190.0
2015-12-07,Akdeniz Bölgesi,150190.0
2015-12-14,Akdeniz Bölgesi,150190.0
2015-12-21,Akdeniz Bölgesi,150190.0
2015-12-28,Akdeniz Bölgesi,150190.0
2016-01-04,Akdeniz Bölgesi,150325.0
2016-01-11,Akdeniz Bölgesi,150325.0
2016-01-18,Akdeniz Bölgesi,150325.0
2016-01-25,Akdeniz Bölgesi,150325.0
2016-02-01,Akdeniz Bölgesi,153250.0
2016-02-08,Akdeniz Bölgesi,153250.0
2016-02-15,Akdeniz Bölgesi,153250.0
2016-02-22,Akdeniz Bölgesi,153250.0
2016-02-29,Akdeniz Bölgesi,148921.0
2016-03-07,Akdeniz Bölgesi,148921.0
2016-03-14,Akdeniz Bölgesi,148921.0
2016-03-21,Akdeniz Bölgesi,148921.0
2016-03-28,Akdeniz Bölgesi,148921.0
2016-04-04,Akdeniz Bölgesi,147732.0
2016-04-11,Akdeniz Bölgesi,147732.0
2016-04-18,Akdeniz Bölgesi,147732.0
2016-04-25,Akdeniz Bölgesi,147732.0
2016-05-02,Akdeniz Bölgesi,145663.0
2016-05-09,Akdeniz Bölgesi,145663.0
2016-05-16,Akdeniz Bölgesi,145663.0
2016-05-23,Akdeniz Bölgesi,145663.0
2016-05-30,Akdeniz Bölgesi,141995.0
2016-06-06,Akdeniz Bölgesi,141995.0
2016-06-13,Akdeniz Bölgesi,141995.0
2016-06-20,Akdeniz Bölgesi,141995.0
2016-06-27,Akdeniz Bölgesi,141995.0
2016-07-04,Akdeniz Bölgesi,140262.0
2016-07-11,Akdeniz Bölgesi,140262.0
2016-07-18,Akdeniz Bölgesi,140262.0
2016-07-25,Akdeniz Bölgesi,140262.0
2016-08-01,Akdeniz Bölgesi,140619.0
2016-08-08,Akdeniz Bölgesi,140619.0
2016-08-15,Akdeniz Bölgesi,140619.0
2016-08-22,Akdeniz Bölgesi,140619.0
2016-08-29,Akdeniz Bölgesi,133940.0
2016-09-05,Akdeniz Bölgesi,133940.0
2016-09-12,Akdeniz Bölgesi,133940.0
2016-09-19,Akdeniz Bölgesi,133940.0
2016-09-26,Akdeniz Bölgesi,133940.0
2016-10-03,Akdeniz Bölgesi,131896.0
2016-10-10,Akdeniz Bölgesi,131896.0
2016-10-17,Akdeniz Bölgesi,131896.0
2016-10-24,Akdeniz Bölgesi,131896.0
2016-10-31,Akdeniz Bölgesi,131336.0
2016-11-07,Akdeniz Bölgesi,131336.0
2016-11-14,Akdeniz Bölgesi,131336.0
2016-11-21,Akdeniz Bölgesi,131336.0
2016-11-28,Akdeniz Bölgesi,131735.0
2016-12-05,Akdeniz Bölgesi,131735.0
2016-12-12,Akdeniz Bölgesi,131735.0
2016-12-19,Akdeniz Bölgesi,131735.0
2016-12-26,Akdeniz Bölgesi,131735.0
2017-01-02,Akdeniz Bölgesi,134703.0
2017-01-09,Akdeniz Bölgesi,134703.0
2017-01-16,Akdeniz Bölgesi,134703.0
2017-01-23,Akdeniz Bölgesi,134703.0
2017-01-30,Akdeniz Bölgesi,132212.0
2017-02-06,Akdeniz Bölgesi,132212.0
2017-02-13,Akdeniz Bölgesi,132212.0
2017-02-20,Akdeniz Bölgesi,132212.0
2017-02-27,Akdeniz Bölgesi,132212.0
2017-03-06,Akdeniz Bölgesi,133216.0
2017-03-13,Akdeniz Bölgesi,133216.0
2017-03-20,Akdeniz Bölgesi,133216.0
2017-03-27,Akdeniz Bölgesi,133216.0
2017-04-03,Akdeniz Bölgesi,132595.0
2017-04-10,Akdeniz Bölgesi,132595.0
2017-04-17,Akdeniz Bölgesi,132595.0
2017-04-24,Akdeniz Bölgesi,132595.0
2017-05-01,Akdeniz Bölgesi,132243.0
2017-05-08,Akdeniz Bölgesi,132243.0
2017-05-15,Akdeniz Bölgesi,132243.0
2017-05-22,Akdeniz Bölgesi,132243.0
2017-05-29,Akdeniz Bölgesi,132292.0
2017-06-05,Akdeniz Bölgesi,132292.0
2017-06-12,Akdeniz Bölgesi,132292.0
2017-06-19,Akdeniz Bölgesi,132292.0
2017-06-26,Akdeniz Bölgesi,132292.0
2017-07-03,Akdeniz Bölgesi,132866.0
2017-07-10,Akdeniz Bölgesi,132866.0
2017-07-17,Akdeniz Bölgesi,132866.0
2017-07-24,Akdeniz Bölgesi,132866.0
2017-07-31,Akdeniz Bölgesi,131973.0
2017-08-07,Akdeniz Bölgesi,131973.0
2017-08-14,Akdeniz Bölgesi,131973.0
2017-08-21,Akdeniz Bölgesi,131973.0
2017-08-28,Akdeniz Bölgesi,136045.0
2017-09-04,Akdeniz Bölgesi,136045.0
2017-09-11,Akdeniz Bölgesi,136045.0
2017-09-18,Akdeniz Bölgesi,136045.0
2017-09-25,Akdeniz Bölgesi,136045.0
2017-10-02,Akdeniz Bölgesi,137002.0
2017-10-09,Akdeniz Bölgesi,137002.0
2017-10-16,Akdeniz Bölgesi,137002.0
2017-10-23,Akdeniz Bölgesi,137002.0
2017-10-30,Akdeniz Bölgesi,138149.0
2017-11-06,Akdeniz Bölgesi,138149.0
2017-11-13,Akdeniz Bölgesi,138149.0
2017-11-20,Akdeniz Bölgesi,138149.0
2017-11-27,Akdeniz Bölgesi,138149.0
2017-12-04,Akdeniz Bölgesi,139257.0
2017-12-11,Akdeniz Bölgesi,139257.0
2017-12-18,Akdeniz Bölgesi,139257.0
2017-12-25,Akdeniz Bölgesi,139257.0
2018-01-01,Akdeniz Bölgesi,136507.0
2018-01-08,Akdeniz Bölgesi,136507.0
2018-01-15,Akdeniz Bölgesi,136507.0
2018-01-22,Akdeniz Bölgesi,136507.0
2018-01-29,Akdeniz Bölgesi,135438.0
2018-02-05,Akdeniz Bölgesi,135438.0
2018-02-12,Akdeniz Bölgesi,135438.0
2018-02-19,Akdeniz Bölgesi,135438.0
2018-02-26,Akdeniz Bölgesi,135438.0
2018-03-05,Akdeniz Bölgesi,133021.0
2018-03-12,Akdeniz Bölgesi,133021.0
2018-03-19,Akdeniz Bölgesi,133021.0
2018-03-26,Akdeniz Bölgesi,133021.0
2018-04-02,Akdeniz Bölgesi,132508.0
2018-04-09,Akdeniz Bölgesi,132508.0
2018-04-16,Akdeniz Bölgesi,132508.0
2018-04-23,Akdeniz Bölgesi,132508.0
2018-04-30,Akdeniz Bölgesi,131809.0
2018-05-07,Akdeniz Bölgesi,131809.0
2018-05-14,Akdeniz Bölgesi,131809.0
2018-05-21,Akdeniz Bölgesi,131809.0
2018-05-28,Akdeniz Bölgesi,131809.0
2018-06-04,Akdeniz Bölgesi,131558.0
2018-06-11,Akdeniz Bölgesi,131558.0
2018-06-18,Akdeniz Bölgesi,131558.0
2018-06-25,Akdeniz Bölgesi,131558.0
2018-07-02,Akdeniz Bölgesi,130912.0
2018-07-09,Akdeniz Bölgesi,130912.0
2018-07-16,Akdeniz Bölgesi,130912.0
2018-07-23,Akdeniz Bölgesi,130912.0
2018-07-30,Akdeniz Bölgesi,128371.0
2018-08-06,Akdeniz Bölgesi,128371.0
2018-08-13,Akdeniz Bölgesi,128371.0
2018-08-20,Akdeniz Bölgesi,128371.0
2018-08-27,Akdeniz Bölgesi,128371.0
2018-09-03,Akdeniz Bölgesi,125796.0
2018-09-10,Akdeniz Bölgesi,125796.0
2018-09-17,Akdeniz Bölgesi,125796.0
2018-09-24,Akdeniz Bölgesi,125796.0
2018-10-01,Akdeniz Bölgesi,121134.0
2018-10-08,Akdeniz Bölgesi,121134.0
2018-10-15,Akdeniz Bölgesi,121134.0
2018-10-22,Akdeniz Bölgesi,121134.0
2018-10-29,Akdeniz Bölgesi,116458.0
2018-11-05,Akdeniz Bölgesi,116458.0
2018-11-12,Akdeniz Bölgesi,116458.0
2018-11-19,Akdeniz Bölgesi,116458.0
2018-11-26,Akdeniz Bölgesi,116458.0
2018-12-03,Akdeniz Bölgesi,109618.0
2018-12-10,Akdeniz Bölgesi,109618.0
2018-12-17,Akdeniz Bölgesi,109618.0
2018-12-24,Akdeniz Bölgesi,109618.0
2018-12-31,Akdeniz Bölgesi,105809.0
2019-01-07,Akdeniz Bölgesi,105809.0
2019-01-14,Akdeniz Bölgesi,105809.0
2019-01-21,Akdeniz Bölgesi,105809.0
2019-01-28,Akdeniz Bölgesi,101414.0
2019-02-04,Akdeniz Bölgesi,101414.0
2019-02-11,Akdeniz Bölgesi,101414.0
2019-02-18,Akdeniz Bölgesi,101414.0
2019-02-25,Akdeniz Bölgesi,101414.0
2019-03-04,Akdeniz Bölgesi,96539.0
2019-03-11,Akdeniz Bölgesi,96539.0
2019-03-18,Akdeniz Bölgesi,96539.0
2019-03-25,Akdeniz Bölgesi,96539.0
2019-04-01,Akdeniz Bölgesi,94474.0
2019-04-08,Akdeniz Bölgesi,94474.0
2019-04-15,Akdeniz Bölgesi,94474.0
2019-04-22,Akdeniz Bölgesi,94474.0
2019-04-29,Akdeniz Bölgesi,91977.0
2019-05-06,Akdeniz Bölgesi,91977.0
2019-05-13,Akdeniz Bölgesi,91977.0
2019-05-20,Akdeniz Bölgesi,91977.0
2019-05-27,Akdeniz Bölgesi,91977.0
2019-06-03,Akdeniz Bölgesi,89003.0
2019-06-10,Akdeniz Bölgesi,89003.0
2019-06-17,Akdeniz Bölgesi,89003.0
2019-06-24,Akdeniz Bölgesi,89003.0
2019-07-01,Akdeniz Bölgesi,85914.0
2019-07-08,Akdeniz Bölgesi,85914.0
2019-07-15,Akdeniz Bölgesi,85914.0
2019-07-22,Akdeniz Bölgesi,85914.0
2019-07-29,Akdeniz Bölgesi,83855.0
2019-08-05,Akdeniz Bölgesi,83855.0
2019-08-12,Akdeniz Bölgesi,83855.0
2019-08-19,Akdeniz Bölgesi,83855.0
2019-08-26,Akdeniz Bölgesi,83855.0
2019-09-02,Akdeniz Bölgesi,80346.0
2019-09-09,Akdeniz Bölgesi,80346.0
2019-09-16,Akdeniz Bölgesi,80346.0
2019-09-23,Akdeniz Bölgesi,80346.0
2019-09-30,Akdeniz Bölgesi,78363.0
2019-10-07,Akdeniz Bölgesi,78363.0
2019-10-14,Akdeniz Bölgesi,78363.0
2019-10-21,Akdeniz Bölgesi,78363.0
2019-10-28,Akdeniz Bölgesi,78363.0
2019-11-04,Akdeniz Bölgesi,79497.0
2019-11-11,Akdeniz Bölgesi,79497.0
2019-11-18,Akdeniz Bölgesi,79497.0
2019-11-25,Akdeniz Bölgesi,79497.0
2019-12-02,Akdeniz Bölgesi,82908.0
2019-12-09,Akdeniz Bölgesi,82908.0
2019-12-16,Akdeniz Bölgesi,82908.0
2019-12-23,Akdeniz Bölgesi,82908.0
2019-12-30,Akdeniz Bölgesi,83025.0
2014-01-06,Doğu Anadolu Bölgesi,
2014-01-13,Doğu Anadolu Bölgesi,
2014-01-20,Doğu Anadolu Bölgesi,
2014-01-27,Doğu Anadolu Bölgesi,
2014-02-03,Doğu Anadolu Bölgesi,
2014-02-10,Doğu Anadolu Bölgesi,
2014-02-17,Doğu Anadolu Bölgesi,
2014-02-24,Doğu Anadolu Bölgesi,
2014-03-03,Doğu Anadolu Bölgesi,
2014-03-10,Doğu Anadolu Bölgesi,
2014-03-17,Doğu Anadolu Bölgesi,
2014-03-24,Doğu Anadolu Bölgesi,
2014-03-31,Doğu Anadolu Bölgesi,
2014-04-07,Doğu Anadolu Bölgesi,
2014-04-14,Doğu Anadolu Bölgesi,
2014-04-21,Doğu Anadolu Bölgesi,
2014-04-28,Doğu Anadolu Bölgesi,
2014-05-05,Doğu Anadolu Bölgesi,
2014-05-12,Doğu Anadolu Bölgesi,
2014-05-19,Doğu Anadolu Bölgesi,
2014-05-26,Doğu Anadolu Bölgesi,
2014-06-02,Doğu Anadolu Bölgesi,
2014-06-09,Doğu Anadolu Bölgesi,
2014-06-16,Doğu Anadolu Bölgesi,
2014-06-23,Doğu Anadolu Bölgesi,
2014-06-30,Doğu Anadolu Bölgesi,
2014-07-07,Doğu Anadolu Bölgesi,
2014-07-14,Doğu Anadolu Bölgesi,
2014-07-21,Doğu Anadolu Bölgesi,
2014-07-28,Doğu Anadolu Bölgesi,
2014-08-04,Doğu Anadolu Bölgesi,
2014-08-11,Doğu Anadolu Bölgesi,
2014-08-18,Doğu Anadolu Bölgesi,
2014-08-25,Doğu Anadolu Bölgesi,
2014-09-01,Doğu Anadolu Bölgesi,
2014-09-08,Doğu Anadolu Bölgesi,
2014-09-15,Doğu Anadolu Bölgesi,
2014-09-22,Doğu Anadolu Bölgesi,
2014-09-29,Doğu Anadolu Bölgesi,
2014-10-06,Doğu Anadolu Bölgesi,
2014-10-13,Doğu Anadolu Bölgesi,
2014-10-20,Doğu Anadolu Bölgesi,
2014-10-27,Doğu Anadolu Bölgesi,
2014-11-03,Doğu Anadolu Bölgesi,
2014-11-10,Doğu Anadolu Bölgesi,
2014-11-17,Doğu Anadolu Bölgesi,
2014-11-24,Doğu Anadolu Bölgesi,
2014-12-01,Doğu Anadolu Bölgesi,34040.0
2014-12-08,Doğu Anadolu Bölgesi,34040.0
2014-12-15,Doğu Anadolu Bölgesi,34040.0
2014-12-22,Doğu Anadolu Bölgesi,34040.0
2014-12-29,Doğu Anadolu Bölgesi,34218.0
2015-01-05,Doğu Anadolu Bölgesi,34218.0
2015-01-12,Doğu Anadolu Bölgesi,34218.0
2015-01-19,Doğu Anadolu Bölgesi,34218.0
2015-01-26,Doğu Anadolu Bölgesi,34218.0
2015-02-02,Doğu Anadolu Bölgesi,35067.0
2015-02-09,Doğu Anadolu Bölgesi,35067.0
2015-02-16,Doğu Anadolu Bölgesi,35067.0
2015-02-23,Doğu Anadolu Bölgesi,35067.0
2015-03-02,Doğu Anadolu Bölgesi,35769.0
2015-03-09,Doğu Anadolu Bölgesi,35769.0
2015-03-16,Doğu Anadolu Bölgesi,35769.0
2015-03-23,Doğu Anadolu Bölgesi,35769.0
2015-03-30,Doğu Anadolu Bölgesi,35769.0
2015-04-06,Doğu Anadolu Bölgesi,36492.0
2015-04-13,Doğu Anadolu Bölgesi,36492.0
2015-04-20,Doğu Anadolu Bölgesi,36492.0
2015-04-27,Doğu Anadolu Bölgesi,36492.0
2015-05-04,Doğu Anadolu Bölgesi,37913.0
2015-05-11,Doğu Anadolu Bölgesi,37913.0
2015-05-18,Doğu Anadolu Bölgesi,37913.0
2015-05-25,Doğu Anadolu Bölgesi,37913.0
2015-06-01,Doğu Anadolu Bölgesi,39619.0
2015-06-08,Doğu Anadolu Bölgesi,39619.0
2015-06-15,Doğu Anadolu Bölgesi,39619.0
2015-06-22,Doğu Anadolu Bölgesi,39619.0
2015-06-29,Doğu Anadolu Bölgesi,40528.0
2015-07-06,Doğu Anadolu Bölgesi,40528.0
2015-07-13,Doğu Anadolu Bölgesi,40528.0
2015-07-20,Doğu Anadolu Bölgesi,40528.0
2015-07-27,Doğu Anadolu Bölgesi,40528.0
2015-08-03,Doğu Anadolu Bölgesi,41113.0
2015-08-10,Doğu Anadolu Bölgesi,41113.0
2015-08-17,Doğu Anadolu Bölgesi,41113.0
2015-08-24,Doğu Anadolu Bölgesi,41113.0
2015-08-31,Doğu Anadolu Bölgesi,42103.0
2015-09-07,Doğu Anadolu Bölgesi,42103.0
2015-09-14,Doğu Anadolu Bölgesi,42103.0
2015-09-21,Doğu Anadolu Bölgesi,42103.0
2015-09-28,Doğu Anadolu Bölgesi,42561.0
2015-10-05,Doğu Anadolu Bölgesi,42561.0
2015-10-12,Doğu Anadolu Bölgesi,42561.0
2015-10-19,Doğu Anadolu Bölgesi,42561.0
2015-10-26,Doğu Anadolu Bölgesi,42561.0
2015-11-02,Doğu Anadolu Bölgesi,42395.0
2015-11-09,Doğu Anadolu Bölgesi,42395.0
2015-11-16,Doğu Anadolu Bölgesi,42395.0
2015-11-23,Doğu Anadolu Bölgesi,42395.0
2015-11-30,Doğu Anadolu Bölgesi,42777.0
2015-12-07,Doğu Anadolu Bölgesi,42777.0
2015-12-14,Doğu Anadolu Bölgesi,42777.0
2015-12-21,Doğu Anadolu Bölgesi,42777.0
2015-12-28,Doğu Anadolu Bölgesi,42777.0
2016-01-04,Doğu Anadolu Bölgesi,42773.0
2016-01-11,Doğu Anadolu Bölgesi,42773.0
2016-01-18,Doğu Anadolu Bölgesi,42773.0
2016-01-25,Doğu Anadolu Bölgesi,42773.0
2016-02-01,Doğu Anadolu Bölgesi,43746.0
2016-02-08,Doğu Anadolu Bölgesi,43746.0
2016-02-15,Doğu Anadolu Bölgesi,43746.0
2016-02-22,Doğu Anadolu Bölgesi,43746.0
2016-02-29,Doğu Anadolu Bölgesi,42651.0
2016-03-07,Doğu Anadolu Bölgesi,42651.0
2016-03-14,Doğu Anadolu Bölgesi,42651.0
2016-03-21,Doğu Anadolu Bölgesi,42651.0
2016-03-28,Doğu Anadolu Bölgesi,42651.0
2016-04-04,Doğu Anadolu Bölgesi,42510.0
2016-04-11,Doğu Anadolu Bölgesi,42510.0
2016-04-18,Doğu Anadolu Bölgesi,42510.0
2016-04-25,Doğu Anadolu Bölgesi,42510.0
2016-05-02,Doğu Anadolu Bölgesi,42547.0
2016-05-09,Doğu Anadolu Bölgesi,42547.0
2016-05-16,Doğu Anadolu Bölgesi,42547.0
2016-05-23,Doğu Anadolu Bölgesi,42547.0
2016-05-30,Doğu Anadolu Bölgesi,41920.0
2016-06-06,Doğu Anadolu Bölgesi,41920.0
2016-06-13,Doğu Anadolu Bölgesi,41920.0
2016-06-20,Doğu Anadolu Bölgesi,41920.0
2016-06-27,Doğu Anadolu Bölgesi,41920.0
2016-07-04,Doğu Anadolu Bölgesi,42228.0
2016-07-11,Doğu Anadolu Bölgesi,42228.0
2016-07-18,Doğu Anadolu Bölgesi,42228.0
2016-07-25,Doğu Anadolu Bölgesi,42228.0
2016-08-01,Doğu Anadolu Bölgesi,42614.0
2016-08-08,Doğu Anadolu Bölgesi,42614.0
2016-08-15,Doğu Anadolu Bölgesi,42614.0
2016-08-22,Doğu Anadolu Bölgesi,42614.0
2016-08-29,Doğu Anadolu Bölgesi,41688.0
2016-09-05,Doğu Anadolu Bölgesi,41688.0
2016-09-12,Doğu Anadolu Bölgesi,41688.0
2016-09-19,Doğu Anadolu Bölgesi,41688.0
2016-09-26,Doğu Anadolu Bölgesi,41688.0
2016-10-03,Doğu Anadolu Bölgesi,41807.0
2016-10-10,Doğu Anadolu Bölgesi,41807.0
2016-10-17,Doğu Anadolu Bölgesi,41807.0
2016-10-24,Doğu Anadolu Bölgesi,41807.0
2016-10-31,Doğu Anadolu Bölgesi,42026.0
2016-11-07,Doğu Anadolu Bölgesi,42026.0
2016-11-14,Doğu Anadolu Bölgesi,42026.0
2016-11-21,Doğu Anadolu Bölgesi,42026.0
2016-11-28,Doğu Anadolu Bölgesi,42682.0
2016-12-05,Doğu Anadolu Bölgesi,42682.0
2016-12-12,Doğu Anadolu Bölgesi,42682.0
2016-12-19,Doğu Anadolu Bölgesi,42682.0
2016-12-26,Doğu Anadolu Bölgesi,42682.0
2017-01-02,Doğu Anadolu Bölgesi,43922.0
2017-01-09,Doğu Anadolu Bölgesi,43922.0
2017-01-16,Doğu Anadolu Bölgesi,43922.0
2017-01-23,Doğu Anadolu Bölgesi,43922.0
2017-01-30,Doğu Anadolu Bölgesi,43002.0
2017-02-06,Doğu Anadolu Bölgesi,43002.0
2017-02-13,Doğu Anadolu Bölgesi,43002.0
2017-02-20,Doğu Anadolu Bölgesi,43002.0
2017-02-27,Doğu Anadolu Bölgesi,43002.0
2017-03-06,Doğu Anadolu Bölgesi,44153.0
2017-03-13,Doğu Anadolu Bölgesi,44153.0
2017-03-20,Doğu Anadolu Bölgesi,44153.0
2017-03-27,Doğu Anadolu Bölgesi,44153.0
2017-04-03,Doğu Anadolu Bölgesi,43983.0
2017-04-10,Doğu Anadolu Bölgesi,43983.0
2017-04-17,Doğu Anadolu Bölgesi,43983.0
2017-04-24,Doğu Anadolu Bölgesi,43983.0
2017-05-01,Doğu Anadolu Bölgesi,45050.0
2017-05-08,Doğu Anadolu Bölgesi,45050.0
2017-05-15,Doğu Anadolu Bölgesi,45050.0
2017-05-22,Doğu Anadolu Bölgesi,45050.0
2017-05-29,Doğu Anadolu Bölgesi,46674.0
2017-06-05,Doğu Anadolu Bölgesi,46674.0
2017-06-12,Doğu Anadolu Bölgesi,46674.0
2017-06-19,Doğu Anadolu Bölgesi,46674.0
2017-06-26,Doğu Anadolu Bölgesi,46674.0
2017-07-03,Doğu Anadolu Bölgesi,46409.0
2017-07-10,Doğu Anadolu Bölgesi,46409.0
2017-07-17,Doğu Anadolu Bölgesi,46409.0
2017-07-24,Doğu Anadolu Bölgesi,46409.0
2017-07-31,Doğu Anadolu Bölgesi,45755.0
2017-08-07,Doğu Anadolu Bölgesi,45755.0
2017-08-14,Doğu Anadolu Bölgesi,45755.0
2017-08-21,Doğu Anadolu Bölgesi,45755.0
2017-08-28,Doğu Anadolu Bölgesi,46770.0
2017-09-04,Doğu Anadolu Bölgesi,46770.0
2017-09-11,Doğu Anadolu Bölgesi,46770.0
2017-09-18,Doğu Anadolu Bölgesi,46770.0
2017-09-25,Doğu Anadolu Bölgesi,46770.0
2017-10-02,Doğu Anadolu Bölgesi,47169.0
2017-10-09,Doğu Anadolu Bölgesi,47169.0
2017-10-16,Doğu Anadolu Bölgesi,47169.0
2017-10-23,Doğu Anadolu Bölgesi,47169.0
2017-10-30,Doğu Anadolu Bölgesi,47216.0
2017-11-06,Doğu Anadolu Bölgesi,47216.0
2017-11-13,Doğu Anadolu Bölgesi,47216.0
2017-11-20,Doğu Anadolu Bölgesi,47216.0
2017-11-27,Doğu Anadolu Bölgesi,47216.0
2017-12-04,Doğu Anadolu Bölgesi,47440.0
2017-12-11,Doğu Anadolu Bölgesi,47440.0
2017-12-18,Doğu Anadolu Bölgesi,47440.0
2017-12-25,Doğu Anadolu Bölgesi,47440.0
2018-01-01,Doğu Anadolu Bölgesi,46525.0
2018-01-08,Doğu Anadolu Bölgesi,46525.0
2018-01-15,Doğu Anadolu Bölgesi,46525.0
2018-01-22,Doğu Anadolu Bölgesi,46525.0
2018-01-29,Doğu Anadolu Bölgesi,46225.0
2018-02-05,Doğu Anadolu Bölgesi,46225.0
2018-02-12,Doğu Anadolu Bölgesi,46225.0
2018-02-19,Doğu Anadolu Bölgesi,46225.0
2018-02-26,Doğu Anadolu Bölgesi,46225.0
2018-03-05,Doğu Anadolu Bölgesi,45381.0
2018-03-12,Doğu Anadolu Bölgesi,45381.0
2018-03-19,Doğu Anadolu Bölgesi,45381.0
2018-03-26,Doğu Anadolu Bölgesi,45381.0
2018-04-02,Doğu Anadolu Bölgesi,45173.0
2018-04-09,Doğu Anadolu Bölgesi,45173.0
2018-04-16,Doğu Anadolu Bölgesi,45173.0
2018-04-23,Doğu Anadolu Bölgesi,45173.0
2018-04-30,Doğu Anadolu Bölgesi,43386.0
2018-05-07,Doğu Anadolu Bölgesi,43386.0
2018-05-14,Doğu Anadolu Bölgesi,43386.0
2018-05-21,Doğu Anadolu Bölgesi,43386.0
2018-05-28,Doğu Anadolu Bölgesi,43386.0
2018-06-04,Doğu Anadolu Bölgesi,40891.0
2018-06-11,Doğu Anadolu Bölgesi,40891.0
2018-06-18,Doğu Anadolu Bölgesi,40891.0
